President,ABN,ABX,AP,AT,BE,BED,BEDZ,BEG,BEM,BEN,BER,BEZ,CC,CD,CS,DO,DOD,DOZ,DT,DTI,DTS,EX,HV,HVD,HVG,HVZ,IN,JJ,JJR,JJS,JJT,MD,NIL,NN,NN$,NNS,NP,NP$,NPS,NR,OD,PN,PP$,PPLS,PPO,PPS,PPSS,QL,QLP,RB,RBR,RN,RP,TO,UH,VB,VBD,VBG,VBN,VBZ,WDT.,WP$,WPS,WQL,WRB
obama0921.txt,0.0042994,0,0.01112809,0.058421,0.0060698,0.00075873,0.0032878,0.00075873,0.00050582,0.0010116,0.0050582,0.0080931,0.0331311,0.01188665,0.02124434,0.0103693,0.00126455,0.00151746,0.01391001,0.00354072,0.00075873,0.00126451,0.005564,0.00025291,0,0.0012645,0.06980266,0.02503789,0.00126455,0,0.00202324,0.01694497,0,0.08472439,0,0.03692461,0.01062218,0,0.00303493,0.00303491,0.00101164,0.00278196,0.02099145,0.00075873,0.01719781,0.00935761,0.06246844,0.00455229,0,0.03211943,0.00202324,0.00050582,0.0068286,0.026302,0.00025291,0.05943374,0.0131513,0.01315125,0.00505821,0.00404656,0.00531111,0,0.00708152,0.00025291,0.0068284
obama0922b.txt,0.0042283,0,0.01057083,0.05232527,0.0034355,0.00052854,0.002907,0.00026427,0.0010571,0.00079281,0.0036998,0.0063425,0.0340914,0.01083524,0.02167021,0.0121565,0.00211421,0.00158564,0.0137421,0.00264267,0.00184994,0.00211417,0.0060782,0.00052854,0,0.0010571,0.06342567,0.0229916,0.00105708,0,0.00211421,0.01532766,0.00079281,0.0803385,0,0.04096215,0.00951376,0,0.00079281,0.00237841,0.00105708,0.00475687,0.02061311,0.00052854,0.01532767,0.01294924,0.06871033,0.00475686,0,0.0317125,0.00184987,0.0010571,0.00898531,0.02907,0,0.06474655,0.01717756,0.01532772,0.00581398,0.00449259,0.00475691,0,0.00634254,0.00026427,0.00660675
obama0926b.txt,0.00299938,0,0.0083983,0.05019038,0.0031994,0.00059988,0.00339936,0.00019996,0.00059988,0.0023995,0.00439912,0.00899816,0.0321937,0.0125976,0.02459516,0.0107978,0.0019996,0.00259944,0.0171966,0.00279946,0.00199958,0.00119976,0.0043991,0.00059988,0.00039992,0.0013997,0.06978616,0.02319538,0.0009998,0,0.00199964,0.01459706,0,0.08118396,0.00039992,0.03359336,0.01359728,0,0.00159972,0.0021996,0.00119976,0.0037992,0.01639672,0.00059988,0.0169967,0.0129974,0.0645865,0.00359928,0,0.02779442,0.00159968,0.0011998,0.00639868,0.023995,0.00039992,0.0621875,0.01099786,0.0195961,0.0045991,0.004999,0.00639872,0,0.00719862,0.00079984,0.0083984
obama0930.txt,0.00539475,0,0.01152522,0.0566454,0.0039235,0.00024522,0.00098087,0,0,0.0012261,0.00760172,0.00907312,0.0367825,0.01275131,0.01912708,0.0110348,0.0014713,0.00024522,0.01520357,0.00171652,0.00098087,0.00122609,0.0051496,0.00024522,0.00049044,0.00098087,0.06792528,0.02623852,0.0012261,0,0.00269738,0.01667494,0.00073565,0.08582651,0,0.04070622,0.00833741,0,0.00220694,0.00294265,0.0012261,0.0046591,0.01863654,0.00049044,0.01593912,0.00907305,0.06326593,0.0041687,0,0.03236883,0.00220697,0.00049044,0.00711126,0.028936,0.00024522,0.06400195,0.01128006,0.02182449,0.00416869,0.00318786,0.00613042,0.00049044,0.00711135,0.0012261,0.009073
obama1003debate1o.txt,0.0037099,0.00063963,0.00601257,0.05590334,0.0038378,0.0028144,0.00473328,0.00063963,0,0.001791,0.00933863,0.01419985,0.0376104,0.01087372,0.03479572,0.0071639,0.00217471,0.00204686,0.01471158,0.00358198,0.0037099,0.00243056,0.0058846,0.0024306,0.00063963,0.0035819,0.07202302,0.0269926,0.00127926,0.00012793,0.00089549,0.01087374,0,0.08558283,0,0.03543569,0.00294233,0.00038378,0.00166305,0.00038378,0.00089549,0.00268646,0.01087364,0.00038378,0.01215293,0.01279258,0.05308925,0.00460531,0.00012793,0.03083024,0.00153512,0.00025585,0.00869904,0.02469,0.001791,0.04528591,0.01010618,0.01650258,0.00575672,0.00601254,0.00703598,0,0.00908273,0.00038378,0.0111295
obama1004.txt,0.00296022,0,0.01372435,0.06135552,0.0026911,0.00053821,0.00349841,0.00026911,0,0.002422,0.00430571,0.00914961,0.0333697,0.01210971,0.02314326,0.0083423,0.00161461,0.00269102,0.01587722,0.00188372,0.00161461,0.00107642,0.00726591,0.00053821,0,0.002422,0.07104358,0.02610331,0.00080732,0,0.00080732,0.01803016,0,0.08503756,0,0.03982779,0.00807331,0.00026911,0.00134551,0.00242192,0.00107642,0.00565129,0.01291703,0.00026911,0.01210991,0.01210982,0.05489795,0.00511293,0,0.02798702,0.00215282,0.00026911,0.00995704,0.027987,0,0.05651256,0.01318625,0.01668446,0.00565128,0.0045748,0.00484391,0,0.00968782,0.00053821,0.0088804
obama1005.txt,0.0026746,0,0.01426455,0.05735555,0.0023774,0.0011887,0.0014859,0,0.00089153,0.0017831,0.00713228,0.0092125,0.0338778,0.0127786,0.02317971,0.0065379,0.00148588,0.00178308,0.01901928,0.00208028,0.0023774,0.00148588,0.0071322,0.00089153,0,0.0026746,0.06627065,0.02615164,0.00029718,0.00089153,0.00059436,0.01158995,0,0.09777126,0,0.03863313,0.00832093,0,0.00148588,0.00178306,0.00208023,0.00445767,0.01842491,0,0.01396737,0.01158988,0.04814238,0.00594353,0.00029718,0.03417532,0.00208023,0.00089153,0.00802371,0.024071,0.00029718,0.05230302,0.00980682,0.01396731,0.0059435,0.00534917,0.00297176,0,0.00742938,0.00089153,0.00653788
obama1008.txt,0.00406037,0,0.00986077,0.05162419,0.0052204,0,0.00290022,0.00058005,0.00029002,0.0014501,0.0072506,0.00899072,0.031032,0.01537117,0.02204173,0.0089908,0.00145012,0.00087007,0.0185615,0.00174015,0.0023202,0.00145012,0.0046404,0.0011601,0.00058005,0.0026102,0.06786536,0.01885152,0.00116009,0,0.00203015,0.01827132,0,0.08062642,0,0.03741302,0.01102093,0,0.00145011,0.00348022,0.00174015,0.00348027,0.01740137,0.00029002,0.0145012,0.01073092,0.06293528,0.00841069,0,0.0336427,0.00261024,0.00058005,0.00928069,0.023492,0.00029002,0.05365431,0.01537114,0.01450111,0.00870065,0.00261019,0.00609045,0,0.00841062,0.00029002,0.00493037
obama1011.txt,0.00281455,0,0.01069518,0.05572766,0.0022516,0.00028145,0.0025331,0,0,0.0022516,0.0039403,0.00731775,0.028427,0.01716863,0.02307916,0.0067549,0.00168872,0.00197016,0.01970166,0.00168875,0.0005629,0.0005629,0.0059105,0.00028145,0,0.00084436,0.07233206,0.02476778,0.00084435,0,0.0011258,0.02139036,0,0.08218422,0.00028145,0.04024761,0.01435406,0,0.00140726,0.003096,0.0016887,0.00253305,0.0151985,0.0005629,0.01547975,0.0123839,0.05572765,0.00872501,0,0.03377419,0.00197016,0.00028145,0.006192,0.021672,0,0.05854228,0.01322815,0.01350971,0.00619201,0.00337741,0.00928791,0,0.00928795,0.00028145,0.00647336
obama1016debate2o.txt,0.0031941,0.0001183,0.00650651,0.05110601,0.0027209,0.0013013,0.0046137,0.00070981,0.0002366,0.0027209,0.0095824,0.0118299,0.0378563,0.00993725,0.03004822,0.0060333,0.00201111,0.00094641,0.0192831,0.00248431,0.0042588,0.00189281,0.0068615,0.0015379,0.0002366,0.0017745,0.07275468,0.02685422,0.0009464,0.0001183,0.0008281,0.01041041,0,0.0850581,0.0001183,0.03537176,0.00485032,0.0001183,0.0010647,0.0003549,0.00130132,0.00390392,0.01360451,0.0003549,0.0120667,0.0138412,0.05737551,0.00532354,0,0.03241432,0.0005915,0.0002366,0.00650651,0.025553,0.0010647,0.04767513,0.01372291,0.01739028,0.00520523,0.00520525,0.00816281,0.0002366,0.0100556,0.0002366,0.00993731
