Year,President,Party,but_CC,or_CC,nor_CC,without_IN,unless_IN,although_IN,except_IN,terrible_JJ,afraid_JJ,disappointed_JJ,weak_JJ,crazy_JJ,lonely_JJ,suspicious_JJ,inadequate_JJ,worthless_JJ,vain_JJ,dumb_JJ,ignorant_JJ,inferior_JJ,boring_JJ,action_NN,fear_NN,enemy_NN,loss_NN,greed_NN,tragedy_NN,anger_NN,jerk_NN,hated_NN,agony_NN,anguish_NN,lies_NNS,my_PP$,me_PPO,myself_PPL,mine_PP$$,i_PPSS,i'm_PPSS,i've_PPSS,i'll_PPSS,i'd_PPSS,rather_RB,however_RB,besides_RB,sorry_UH,go_VB,take_VB,look_VB,lead_VB,move_VB,run_VB,walk_VB,drive_VB,follow_VB,carry_VB,hate_VB,lie_VB,abandon_VB,arrive_VB,despise_VB,dislike_VB,moved_VBD,followed_VBD,flew_VBD,lied_VBD,going_VBG,taking_VBG,bringing_VBG,carrying_VBG,driven_VBN,arrived_VBN,fled_VBN,goes_VBZ,hates_VBZ,arrives_VBZ,win/loss
1994,clinton950121.txt,Democrat,33,11,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,11,0,0,98,5,6,4,3,0,0,0,0,14,3,3,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,1
1994,clinton950124.txt,Democrat,62,31,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,12,11,0,0,112,7,5,6,2,1,0,0,0,16,5,5,2,6,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,9,2,1,0,0,0,0,0,0,0,1
1994,clinton951130.txt,Democrat,15,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,4,0,0,29,1,0,0,1,1,1,0,0,3,1,1,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1996,clinton960202.txt,Democrat,32,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,1,0,120,3,4,1,1,0,0,0,1,25,3,8,1,3,2,0,1,1,0,0,0,0,0,0,0,3,0,0,0,15,1,0,0,0,0,0,1,0,0,1
1996,clinton960211.txt,Democrat,34,26,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,23,1,0,86,4,8,3,0,0,0,0,0,7,3,7,3,4,1,3,1,0,0,1,0,0,0,0,0,2,0,0,0,16,0,1,0,0,0,0,1,0,0,1
1996,clinton960216.txt,Democrat,18,14,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,12,1,0,92,5,5,1,2,0,0,0,0,5,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,1,0,0,0,0,0,0,0,0,1
1996,clinton960217.txt,Democrat,27,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0,1,84,3,0,2,1,2,0,0,0,10,2,6,1,0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,7,0,1,0,1,0,0,1,0,0,1
1996,clinton960304.txt,Democrat,22,15,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,0,0,61,5,1,0,1,0,0,0,0,13,6,5,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,1,1,0,2,0,0,0,0,0,1
1996,clinton960429.txt,Democrat,32,10,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,81,3,3,3,0,0,0,0,0,12,7,4,1,4,4,2,0,1,1,0,0,0,0,0,0,1,0,0,0,10,0,0,0,2,0,0,0,0,0,1
1996,clinton960517.txt,Democrat,9,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,12,2,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1996,clinton960523.txt,Democrat,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,22,0,0,0,0,0,0,0,0,2,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,1,0,0,1,0,0,0,0,1
1996,clinton960609.txt,Democrat,8,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,62,6,1,0,0,0,0,0,0,4,4,6,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,1
1996,clinton960610.txt,Democrat,8,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,32,3,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1996,clinton960710.txt,Democrat,12,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,6,0,0,73,5,1,1,2,0,1,0,0,11,2,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1
1996,clinton960723.txt,Democrat,21,14,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,7,0,0,55,4,2,1,2,0,0,0,0,6,3,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1
1996,clinton960826.txt,Democrat,37,24,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,17,1,1,114,7,1,1,0,0,0,0,0,9,8,8,2,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,1
