Speeches,the_AT,and_CC,of_IN,we_PPSS,to_IN,that_CS,this_DT,will_MD,you_PPSS,as_CS,can_MD,what_WDT.,that_DT,or_CC,when_WRB,that's_DT,if_CS,my_PP$,make_VB,he_PPS,has_HVZ,now_RB,because_CS,it's_PPS,just_RB,years_NNS,want_VB,here_RB,up_RP,need_VB,we're_PPSS,some_DTI,we've_PPSS,got_VBD,so_CS,would_MD,his_PP$,government_NN,go_VB,work_VB,give_VB,many_AP,why_WRB,united_VBN,other_AP,together_RB,how_WRB,can't_MD,down_RP,same_AP,see_VB,senator_NN,you're_PPSS,companies_NNS,working_VBG,never_RB,election_NN,change_NN,any_DTI,we'll_PPSS,very_QL,right_QL,sure_JJ,making_VBG,college_NN,its_PP$,class_NN,tell_VB,life_NN,they're_PPSS,am_BEM,most_QL,folks_NNS,young_JJ,everybody_PN,laughter_NP,percent_NN,business_NN,able_JJ,after_IN,look_VB,members_NNS,afford_VB,doing_VBG,history_NN,made_VBD,mccain_NP,audience_NN,there's_EX,power_NN,century_NN,dollars_NNS,chance_NN,deficit_NN,forward_RB,obama_NP,4_CD,you've_PPSS,2_CD,office_NN,john_NP,politics_NN,getting_VBG,clinton_NP,idea_NN,public_JJ,what's_WDT.,reason_NN,willing_JJ,lead_VB,bless_VB,republicans_NPS,try_VB,hard_RB,wrong_JJ,protect_VB,3_CD,they've_PPSS,course_NN,decade_NN,interests_NNS,10_CD,because_RB,21st_OD,record_NN,ways_NNS,often_RB,cuts_VBZ,asking_VBG,serious_JJ,bad_JJ,rights_NNS,others_NNS,breaks_VBZ,become_VB,looking_VBG,until_CS,direction_NN,who's_WPS,sick_JJ,spending_NN,greater_JJR,cause_NN,auto_NN,2008_CD,investing_VBG,heart_NN,you'll_PPSS,honor_NN,among_IN,colleges_NNS,elected_VBN,that's_WPS,main_JJS,wealthiest_JJT,anybody_PN,much_QL,here's_RB,courage_NN,wealth_NN,such_JJ,answer_NN,case_NN,someone_PN,seek_VB,roads_NNS,increase_NN,reforms_NNS,depression_NN,rebuilding_VBG,they'll_PPSS,250_CD,control_NN,corporations_NNS,remind_VB,tuition_NN,win/loss,Reduced by Correlation
2008obama0129.txt,0.037975,0.038974,0.018654,0.015989,0.01066,0.012658,0.0063291,0.0063291,0.0013324,0.0033311,0.005996,0.0026649,0.0056629,0.0033311,0.005996,0.0019987,0.00066622,0.0073284,0.0019987,0.0019987,0.00099933,0.0016656,0.0036642,0.0063291,0.0019987,0.002998,0.00099933,0.0026649,0.0026649,0.0013324,0.00066622,0.00099933,0,0.00066622,0.00033311,0.0013324,0.0013324,0.00033311,0.00099933,0.00033311,0.0016656,0.00033311,0.0019987,0.00033311,0.0016656,0.002998,0.0019987,0.0019987,0,0.0026649,0,0,0,0.00066622,0.0036642,0,0.00066622,0.00066622,0.0013324,0.0013324,0,0.00066622,0.00033311,0.00033311,0.00099933,0.00099933,0,0.00066622,0.00033311,0.0013324,0.0023318,0,0,0.0016656,0,0,0.00033311,0,0.0019987,0.0016656,0.00066622,0.00033311,0.00033311,0.00033311,0.00033311,0.00099933,0,0,0.00066622,0.00033311,0,0,0.0013324,0.00066622,0,0,0.00033311,0.00033311,0,0.00033311,0,0.002998,0,0,0,0,0.00066622,0,0,0.00033311,0,0.00099933,0,0,0,0,0,0,0.00033311,0,0.00066622,0,0.00099933,0,0,0,0,0.00099933,0.00033311,0,0,0.00033311,0,0.00033311,0,0,0.00033311,0,0,0.00033311,0,0,0,0,0,0,0,0.00033311,0,0,0,0,0.00099933,0.00033311,0.00066622,0,0,0.00033311,0,0.00033311,0,0,0,0,0.00033311,0,0,0,0.00066622,0,0,0,0,0,0,0.00033311,1,
2008obama0130.txt,0.048417,0.034584,0.01942,0.01809,0.012237,0.009577,0.0050545,0.009045,0.0042565,0.0023943,0.0042565,0.0053206,0.0042565,0.0023943,0.0055866,0.0021282,0.0026603,0.0026603,0.0023943,0.00053206,0.0021282,0.0021282,0.0037244,0.0029263,0.0021282,0.00079808,0.0010641,0.00079808,0.0026603,0.0034584,0.0018622,0,0.0013301,0,0.00079808,0.00053206,0.0013301,0.00026603,0.00026603,0,0.0013301,0.00026603,0.00053206,0.00026603,0.0010641,0.0013301,0.0010641,0.0026603,0.0013301,0.0013301,0,0,0,0.00053206,0.0010641,0.00079808,0.00053206,0.0039904,0.00053206,0.00026603,0,0.00079808,0.00026603,0.00053206,0.00053206,0.0013301,0,0.00053206,0.0010641,0.00053206,0.0018622,0,0,0.0018622,0,0,0,0.00026603,0.00079808,0.0015962,0.00026603,0,0.0010641,0,0.00026603,0.0010641,0.00026603,0,0,0.00026603,0.00079808,0,0,0,0.00026603,0,0.00026603,0,0,0.00026603,0.0010641,0.0023943,0,0,0,0.00026603,0,0.00026603,0,0.00079808,0,0.0018622,0,0.00026603,0.00026603,0.00026603,0,0,0,0.00026603,0,0,0.00026603,0.00026603,0,0.00026603,0,0.00053206,0,0,0,0,0.00026603,0.00026603,0.00026603,0,0,0,0.00053206,0.00026603,0,0.00026603,0.00053206,0,0,0,0,0.00026603,0,0,0,0,0,0,0.00026603,0,0,0,0.00053206,0,0,0,0,0.0013301,0.00026603,0,0,0,0,0,0,0.00026603,0,0,0,0.00026603,1,
2008obama0205.txt,0.042162,0.043243,0.021622,0.021081,0.0081081,0.0081081,0.015135,0.01027,0.0021622,0.0064865,0.007027,0.0048649,0.0054054,0.0048649,0.0021622,0.00054054,0.0010811,0.0016216,0.0021622,0.0021622,0.0027027,0.0010811,0.0048649,0.0048649,0.0021622,0,0.0016216,0.0010811,0.0043243,0.0027027,0,0.0016216,0.0016216,0,0,0,0.00054054,0,0.00054054,0.00054054,0.00054054,0.0010811,0.0016216,0.0016216,0.0016216,0.0027027,0.00054054,0.0021622,0.0010811,0.0027027,0.00054054,0.00054054,0.00054054,0.00054054,0.00054054,0.0021622,0.0021622,0.0037838,0,0,0.00054054,0,0,0,0.00054054,0.00054054,0,0.0010811,0.00054054,0,0.0016216,0.00054054,0,0.0010811,0,0,0,0,0.0010811,0,0,0,0.00054054,0,0,0,0,0,0,0,0.00054054,0,0,0,0,0,0,0,0,0,0,0.0016216,0,0.00054054,0,0,0,0,0,0.00054054,0,0.0016216,0,0,0,0,0,0,0,0,0,0,0.0010811,0,0,0,0,0,0,0,0,0,0,0.0016216,0,0,0,0,0.0021622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00054054,0,0,0,0,0,0,0.00054054,0,0.00054054,0.00054054,0,0,0,0,0,0.00054054,0,0,0,0,0.00054054,1,
2008obama0207.txt,0.039892,0.029412,0.019608,0.024341,0.0091278,0.011494,0.0087897,0.0098039,0.0013523,0.0016903,0.0081136,0.0040568,0.0047329,0.0020284,0.0070994,0.00033807,0.0030426,0.0013523,0.0040568,0.00067613,0.0030426,0.0010142,0.0027045,0.0027045,0.0020284,0.0010142,0.00067613,0.0016903,0.0047329,0.0047329,0,0,0,0.00067613,0.00067613,0.00033807,0.00067613,0.0027045,0.00067613,0.0020284,0.00067613,0.0020284,0.0013523,0,0.00033807,0.0020284,0.0016903,0.0023665,0.0013523,0.00033807,0.0016903,0,0.00033807,0.00033807,0.00067613,0.00033807,0,0.00033807,0.00067613,0.0023665,0,0,0.0013523,0.00033807,0.00067613,0.0020284,0.00067613,0.00033807,0.0013523,0.00033807,0.0023665,0.0013523,0.00067613,0.00033807,0,0,0,0.00033807,0.00033807,0.0016903,0.00033807,0.00033807,0,0.00067613,0,0.00033807,0,0,0,0.00033807,0,0,0.00033807,0,0.00033807,0,0.00033807,0,0,0.00067613,0,0.0010142,0.00033807,0,0,0,0,0,0.00033807,0,0,0,0,0,0,0.00067613,0,0,0,0,0,0,0,0,0,0,0.00067613,0,0.00033807,0,0,0,0,0,0.00033807,0,0,0,0,0.00033807,0,0,0,0,0,0,0,0,0,0,0.00067613,0,0,0,0,0,0,0,0,0.00033807,0.00033807,0,0,0,0.00033807,0,0,0,0,0.00067613,0,0.00033807,0,0,0,0,1,
2008obama0209.txt,0.046914,0.031687,0.022222,0.016049,0.0074074,0.0082305,0.013992,0.0057613,0.0020576,0.0024691,0.0028807,0.0037037,0.0028807,0.0049383,0.0061728,0.0053498,0.0037037,0.0028807,0.0028807,0.0049383,0.0028807,0.0016461,0.0069959,0.0041152,0.0020576,0.0016461,0.0012346,0.0012346,0.0032922,0.0024691,0.0016461,0.00041152,0.0024691,0.0012346,0,0.00082305,0.00082305,0,0.00041152,0,0.0012346,0.00041152,0.0024691,0.0016461,0.00082305,0.0012346,0.0024691,0,0.0032922,0.0032922,0,0.0016461,0.00041152,0.00082305,0.0016461,0.0020576,0.0020576,0.0020576,0.00041152,0.0016461,0.00041152,0.00041152,0,0,0.00082305,0.0020576,0,0.00041152,0.00041152,0.0012346,0.0032922,0.00041152,0,0.0012346,0,0,0,0,0.00041152,0.00082305,0.00082305,0.00041152,0,0.00041152,0.00041152,0.00041152,0.0028807,0,0.00041152,0,0.00082305,0,0.00082305,0,0,0,0.00041152,0,0.00041152,0.00041152,0.0032922,0.0016461,0,0.00041152,0,0,0,0.00082305,0,0.00041152,0,0.0020576,0,0,0,0,0,0,0,0,0,0,0.0012346,0,0,0,0,0.0012346,0,0,0,0,0,0.00041152,0,0,0,0,0.0016461,0,0,0,0,0,0,0.00041152,0.00041152,0,0,0,0,0,0,0,0.00082305,0,0,0,0,0,0,0,0,0.00041152,0,0,0,0,0,0,0.00041152,0,0,0,0,0,1,
2008obama0212.txt,0.044402,0.03668,0.01834,0.022201,0.0096525,0.013031,0.0096525,0.0057915,0.003861,0.00096525,0.0082046,0.0033784,0.0024131,0.0028958,0.0091699,0.0048263,0.0033784,0.0028958,0.0033784,0.0028958,0.0014479,0.0024131,0.0053089,0.0082046,0.0028958,0.00096525,0.00096525,0.00096525,0.0043436,0.003861,0.00096525,0.0014479,0,0.00096525,0,0,0.0033784,0.00048263,0.0028958,0.0014479,0.00048263,0.0014479,0.0024131,0.0014479,0.00048263,0.0019305,0.00048263,0.0033784,0.00096525,0.0014479,0,0.00096525,0.00048263,0,0.00048263,0.0014479,0.00096525,0.0028958,0,0.00048263,0,0.00048263,0.00096525,0,0.0019305,0.00048263,0,0.00048263,0.00048263,0.00096525,0.0019305,0.00048263,0.00096525,0.00096525,0,0,0,0,0.00048263,0.0028958,0.00048263,0,0.00096525,0,0,0,0.0019305,0,0.00048263,0.00048263,0.00048263,0.00048263,0,0,0,0,0.00048263,0,0,0,0.00096525,0.0014479,0,0,0,0,0.00048263,0.00096525,0.00048263,0,0,0.0014479,0,0.0019305,0,0.00096525,0,0,0,0,0.00048263,0,0.00048263,0,0.00048263,0,0,0.00096525,0,0,0,0.00096525,0,0,0,0,0.00048263,0.00048263,0.00048263,0.00096525,0,0,0,0,0,0,0.00048263,0,0,0,0,0,0.00048263,0.00048263,0,0,0.00096525,0,0,0,0,0,0,0,0.00048263,0,0,0,0,0,0,0,0,0,0,0,1,
2008obama0213.txt,0.041149,0.036005,0.024646,0.012645,0.0092156,0.011787,0.0064295,0.0062152,0.0025718,0.0025718,0.0034291,0.0015002,0.0036434,0.0034291,0.0049293,0.0019288,0.0017145,0.0021432,0.0038577,0,0.0030004,0.0015002,0.0025718,0.0057865,0.0019288,0.0027861,0.00064295,0.0025718,0.0021432,0.0034291,0,0.0012859,0.00085727,0,0.0012859,0.0012859,0.00021432,0.00085727,0.0010716,0.00042863,0.0010716,0.0015002,0.00085727,0.00064295,0.0010716,0.00064295,0.00064295,0.0015002,0.0015002,0.00064295,0,0.00085727,0.00042863,0.00085727,0.004072,0.0010716,0.00085727,0.0015002,0.00042863,0.0025718,0.00021432,0.0017145,0.0015002,0.00085727,0.0017145,0.00064295,0,0.00042863,0.00042863,0.0012859,0.0010716,0.00021432,0.00021432,0.00021432,0,0,0.00021432,0.00064295,0.00064295,0.0015002,0.00042863,0.00021432,0.00064295,0.00021432,0,0.00085727,0.00021432,0,0.00021432,0,0.00042863,0.00085727,0.00085727,0,0.00021432,0,0.00021432,0.00021432,0.00021432,0.00021432,0.00042863,0.00042863,0,0.0010716,0,0.00021432,0.00042863,0.00021432,0,0,0,0.00021432,0,0.00042863,0,0,0,0.00064295,0,0,0.00021432,0,0.00021432,0,0,0,0.00021432,0.00042863,0,0,0.00021432,0.00021432,0,0.00042863,0.00042863,0,0,0,0.00064295,0.00042863,0,0.00021432,0.00042863,0,0,0,0,0,0,0,0,0,0.0017145,0.00042863,0.00064295,0,0,0,0,0.00021432,0,0,0,0,0,0.00021432,0,0,0.00042863,0.00021432,0.00064295,0.00021432,0.00021432,0.0012859,0.00021432,0.00042863,1,
2008obama0224.txt,0.034111,0.029623,0.023339,0.0089767,0.010772,0.0098743,0.0098743,0.005386,0,0.005386,0.0017953,0.002693,0.0017953,0.00089767,0.002693,0.005386,0.002693,0.0017953,0.002693,0.00089767,0.0044883,0.002693,0.0035907,0.002693,0.002693,0.0035907,0.00089767,0.0044883,0.0017953,0.002693,0.0017953,0.0017953,0.00089767,0.0017953,0.00089767,0,0.00089767,0,0,0,0.00089767,0.00089767,0.002693,0.0017953,0,0,0.00089767,0.0035907,0.00089767,0,0,0.0035907,0.00089767,0.002693,0.002693,0.00089767,0,0,0.00089767,0.002693,0,0.00089767,0.00089767,0.00089767,0.00089767,0.0017953,0,0.00089767,0,0.0017953,0,0,0.00089767,0,0,0,0,0.00089767,0.00089767,0.00089767,0,0,0.00089767,0.00089767,0,0,0,0,0,0,0,0.0017953,0,0,0,0,0,0,0,0.00089767,0,0,0,0.0035907,0,0,0,0,0,0,0,0,0,0.00089767,0.00089767,0,0,0,0,0,0.0017953,0,0.00089767,0,0,0,0,0.00089767,0,0,0,0,0,0.00089767,0,0,0.00089767,0,0.0017953,0.00089767,0,0,0,0,0,0.00089767,0,0,0,0,0,0,0.00089767,0,0.00089767,0,0,0,0,0,0,0,0,0,0,0.00089767,0,0,0,0.00089767,0,0,0,0.00089767,0.00089767,0,1,
2008obama0304.txt,0.047787,0.039235,0.023139,0.035211,0.010563,0.014588,0.0090543,0.0055332,0.0020121,0.0055332,0.0050302,0.0030181,0.0035211,0.0025151,0.0040241,0,0.0030181,0.0015091,0,0.0030181,0.0035211,0.001006,0.0030181,0.0025151,0.001006,0.001006,0.0025151,0.001006,0.0035211,0.0015091,0,0,0.00050302,0,0.001006,0.001006,0.0015091,0.0015091,0.001006,0.00050302,0.001006,0.00050302,0,0.001006,0.00050302,0.0015091,0.00050302,0.00050302,0.00050302,0.0045272,0.0020121,0.001006,0,0,0,0.001006,0.00050302,0.0025151,0,0,0.0020121,0.00050302,0,0,0.0020121,0,0,0.001006,0,0,0.0015091,0,0,0.0025151,0,0,0,0,0.00050302,0.00050302,0,0,0,0,0.00050302,0,0.0015091,0,0.0020121,0.00050302,0.0025151,0.00050302,0.0015091,0,0,0,0,0,0,0.00050302,0.0015091,0.0015091,0,0.001006,0,0,0,0.0015091,0,0.00050302,0,0.00050302,0,0,0,0,0.00050302,0,0.0045272,0,0,0,0,0.00050302,0,0,0,0,0.00050302,0,0,0,0.00050302,0.00050302,0,0,0,0,0,0.00050302,0,0,0,0,0,0,0.00050302,0,0,0,0,0,0.00050302,0.00050302,0.00050302,0,0,0,0,0,0,0.00050302,0,0.00050302,0.00050302,0.00050302,0,0,0.00050302,0,0,0,0,0.00050302,0,0,1,
2008obama0312.txt,0.048586,0.042059,0.021755,0.016679,0.012328,0.013778,0.008702,0.0094271,0.00072516,0.0065265,0.0014503,0.0021755,0.0058013,0.0021755,0.004351,0,0.00072516,0.0050761,0,0.0014503,0.0029007,0,0.0029007,0,0.00072516,0.0036258,0,0,0.0014503,0.0036258,0,0.0014503,0.0014503,0,0,0.00072516,0,0,0.0014503,0,0.0014503,0.0014503,0.004351,0.00072516,0,0.00072516,0.00072516,0,0,0,0,0,0,0,0.0014503,0.0014503,0.00072516,0,0.0021755,0,0.00072516,0,0,0,0,0.00072516,0,0.0014503,0,0,0.0050761,0.00072516,0,0,0,0,0,0,0,0,0.00072516,0,0,0,0,0,0.00072516,0,0,0.0014503,0.0029007,0.00072516,0.00072516,0,0.00072516,0,0,0.00072516,0,0.00072516,0.00072516,0.0014503,0,0,0,0,0.00072516,0,0.00072516,0.0014503,0,0,0,0,0.00072516,0,0,0,0,0,0.00072516,0,0,0.0029007,0,0,0.00072516,0,0,0.00072516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00072516,0,0,0.00072516,0,0,0,0,0,0,0,0.00072516,0,0.00072516,0,0,0,0,0,0.00072516,0,0,0,0,0,0,0,0.00072516,0,0,0,1,
