Speeches,we_PPSS,that_CS,this_DT,will_MD,that_DT,that's_DT,my_PP$,he_PPS,has_HVZ,because_CS,we've_PPSS,so_CS,his_PP$,why_WRB,senator_NN,college_NN,life_NN,most_QL,folks_NNS,everybody_PN,laughter_NP,percent_NN,business_NN,history_NN,mccain_NP,dollars_NNS,chance_NN,obama_NP,clinton_NP,wrong_JJ,interests_NNS,record_NN,bad_JJ,direction_NN,sick_JJ,spending_NN,greater_JJR,cause_NN,elected_VBN,courage_NN,wealth_NN,case_NN,roads_NNS,increase_NN,reforms_NNS,win/loss,Reduced by correlation then RFL
2000bush001024.txt,0.012034,0.0046584,0.0089286,0.0027174,0.0054348,0.0054348,0.0011646,0.0015528,0.0007764,0.0031056,0.0007764,0.0007764,0.0003882,0.001941,0,0,0,0,0.0015528,0.0007764,0,0.0015528,0.0003882,0.0011646,0,0.0003882,0.0003882,0,0.0003882,0,0,0,0.0007764,0,0,0.0003882,0,0,0.0003882,0,0.0003882,0,0,0,0,1,
2000bush001102.txt,0.0096246,0.0057748,0.01155,0.0038499,0.0038499,0.0019249,0.0028874,0.00096246,0.0019249,0.0028874,0,0.00096246,0,0.00096246,0,0,0,0,0,0,0,0,0.00096246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2000bush001103.txt,0.01726,0.0041096,0.010411,0.010959,0.0030137,0.0024658,0.0041096,0.0038356,0.0030137,0.0016438,0.0010959,0.0010959,0.0016438,0.00027397,0.0010959,0,0.00027397,0,0.00054795,0.00082192,0,0.00027397,0.00054795,0,0,0.00027397,0.00027397,0,0.00027397,0.00027397,0,0.00027397,0,0,0,0.00054795,0,0.00054795,0.00054795,0,0,0,0,0,0,1,
2000gore000210.txt,0.0036765,0.011029,0.002451,0,0.002451,0.004902,0.002451,0.0012255,0.0061275,0.0012255,0,0.0012255,0,0.0012255,0,0.0012255,0,0,0,0,0,0,0.002451,0,0,0,0,0,0,0.0012255,0.0012255,0,0,0,0,0,0,0,0,0,0.002451,0,0,0,0,0,
2000gore000327.txt,0.006991,0.0055345,0.0075736,0.013982,0.0023303,0.00058258,0.0052432,0.0017477,0.0026216,0.00058258,0,0.00058258,0.0014565,0.00087387,0.00058258,0,0,0.00029129,0,0,0,0.00029129,0.00029129,0.00029129,0.00058258,0.0011652,0,0,0,0.00058258,0.0026216,0,0,0,0,0.00087387,0,0.0014565,0,0,0,0.00029129,0,0,0.00029129,0,
2000gore000428.txt,0.013093,0.00491,0.00491,0.0016367,0.0016367,0,0.0032733,0.00491,0.0016367,0,0,0,0.0016367,0,0,0.0016367,0,0,0,0,0,0.0016367,0,0,0,0.0016367,0,0,0,0,0,0,0,0,0,0.0016367,0,0,0,0,0,0,0,0.0016367,0,0,
2000gore000505.txt,0.012472,0.0092292,0.0027438,0.0034921,0.0027438,0.00099776,0.0024944,0.0042405,0.0019955,0.00099776,0,0.00024944,0.0012472,0.00099776,0,0.0014966,0.00024944,0.0012472,0,0,0,0.00024944,0,0.00049888,0,0.00024944,0,0,0,0.00074832,0,0.00074832,0,0,0,0,0.0019955,0,0,0,0,0,0,0.00074832,0.00024944,0,
2000gore000609.txt,0.017621,0.0099119,0.0022026,0.0022026,0.0022026,0.0022026,0.0011013,0,0,0.0011013,0.0011013,0.0022026,0,0,0,0,0,0.0022026,0.0011013,0,0,0,0,0,0,0,0,0,0,0.0011013,0,0,0.0022026,0,0,0,0.0011013,0,0,0,0,0,0,0,0,0,
2000gore000613.txt,0.024637,0.0050624,0.0077624,0.014175,0.003375,0.0003375,0.0016875,0,0.002025,0.00135,0.0003375,0,0.0003375,0.0003375,0,0.0003375,0.00067499,0.0003375,0,0,0,0,0.0003375,0.00067499,0,0.0003375,0.00135,0,0.00067499,0,0,0.0010125,0.0003375,0,0,0,0.0003375,0.0003375,0,0.0003375,0.0010125,0,0,0,0,0,
2000gore000705.txt,0.014989,0.0082084,0.0071378,0.0078515,0.0021413,0.0014276,0.0010707,0.0010707,0.003212,0.0021413,0.00035689,0.0014276,0.00035689,0.00035689,0,0.00035689,0.00071378,0.00071378,0,0,0,0.00071378,0,0.00035689,0,0.00071378,0.00071378,0,0.00035689,0.0014276,0.0010707,0.00035689,0.00035689,0,0.00035689,0.00035689,0.00071378,0,0,0,0.00035689,0.0010707,0,0,0,0,
2000gore000816.txt,0.0111,0.0045707,0.0058766,0.0093046,0.0014691,0.0017956,0.0052236,0.0016324,0.0019589,0.0019589,0.00048972,0.0019589,0.00065295,0.00048972,0.00032648,0.0014691,0.0014691,0.00048972,0.00016324,0,0,0.00016324,0.00016324,0.00081619,0,0.00032648,0,0,0.00016324,0.00065295,0.00048972,0.00016324,0,0,0.00016324,0,0,0,0,0.00016324,0,0,0,0,0,0,
2000gore000906.txt,0.010858,0.013029,0.0043431,0.015201,0,0.0021716,0.0010858,0,0.0010858,0.0010858,0,0.0021716,0,0,0,0.0032573,0,0,0,0,0,0,0,0.0010858,0,0.0010858,0,0,0,0,0,0.0010858,0,0,0,0.0010858,0,0,0,0,0,0,0,0,0,0,
2000gore001024.txt,0.013464,0.010608,0.005712,0.00408,0.002448,0.001224,0.003264,0.002448,0.00204,0.001224,0.00204,0.000408,0.001632,0.00081599,0.000408,0.000408,0,0.00081599,0,0.000408,0,0.001632,0,0.000408,0,0.001224,0,0,0,0.00081599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2002bush010120.txt,0.025428,0.0049751,0.0066335,0.012161,0.00055279,0,0.0016584,0.00055279,0.0033167,0.0022112,0,0,0.002764,0,0,0,0.0016584,0.00055279,0,0,0,0,0,0.0016584,0,0,0.00055279,0,0.0011056,0.00055279,0.0011056,0,0.00055279,0.00055279,0,0,0.00055279,0.0011056,0,0.002764,0,0,0,0,0.00055279,1,
2002bush010219.txt,0.013624,0.0063579,0.0099909,0.0054496,0.0054496,0.00090827,0,0,0,0.00090827,0,0,0.00090827,0,0.00090827,0,0.0027248,0,0,0,0.00090827,0,0,0,0,0,0,0,0,0,0,0.00090827,0,0,0,0,0.00090827,0,0,0.0027248,0,0.00090827,0,0,0,1,
2002bush010226.txt,0.005988,0.002994,0.005988,0.010479,0.004491,0,0.002994,0,0.001497,0,0.002994,0,0,0.001497,0,0,0,0.001497,0,0.001497,0.001497,0,0,0.001497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001497,1,
2002bush010326.txt,0.013204,0.0059419,0.0055018,0.0015405,0.0026408,0.0046215,0.0026408,0.0017606,0.00066021,0.0011004,0.0022007,0.0017606,0.00088028,0.0011004,0.00044014,0,0.00022007,0.00022007,0.0024208,0.00044014,0.00088028,0.0028609,0.0011004,0,0,0.00022007,0,0,0,0,0,0,0,0,0,0.00066021,0.00022007,0,0,0,0.00022007,0.00022007,0,0.00044014,0,1,
2002bush010524.txt,0.0074836,0.0098223,0.0056127,0.0023386,0.0042095,0,0.005145,0.0014032,0.0018709,0.0023386,0.00093545,0.00093545,0.00046773,0,0.00093545,0,0.00046773,0,0.0023386,0,0.00093545,0,0,0.00046773,0,0.00046773,0.00046773,0,0,0,0,0,0,0,0,0,0.00046773,0,0.00046773,0,0,0,0,0,0,1,
2002bush011017.txt,0.017807,0.01113,0.0077908,0.010573,0.001113,0.0027824,0.0022259,0.001113,0.0016694,0.00055648,0.0027824,0.00055648,0.0022259,0,0,0,0.00055648,0,0.00055648,0,0,0,0,0.00055648,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001113,0,0,0,0,0,0,0,1,
2002bush020129.txt,0.017572,0.0030058,0.0062428,0.011329,0.00069364,0,0.0030058,0,0.0027746,0.00069364,0.0011561,0.0013873,0.00069364,0,0.00023121,0,0.00069364,0.00069364,0.00023121,0,0.00023121,0,0.00023121,0.00092486,0,0.00023121,0,0,0,0.00023121,0,0,0,0,0,0.00023121,0.00046243,0.00069364,0,0.00046243,0,0.00023121,0,0.00046243,0.00023121,1,
