Words,PCA dimension 0,PCA dimension 1,,because_CS,,obama_NP,Level 0,obama_NP,Overall Importance
must_MD,-0.009787516,0.01665093,,corporations_NNS,,i_PPSS,,to_TO,
can't_MD,-0.003580108,-0.005389488,,election_NN,,take_VB,,couple_NN,
could_MD,0.000599329,0.001334947,,audience_NN,,three_CD,,training_NN,
won't_MD,0.003762625,-0.002803581,,you've_PPSS,,too_RB,,college_NN,
president_NN,-0.037009565,-0.009844606,,some_DTI,,medical_JJ,,ability_NN,
country_NN,-0.036148129,-0.005429021,,2008_CD,,cut_VB,,tax_NN,
time_NN,-0.02502155,-0.000104138,,up_RP,,system_NN,,record_NN,
tax_NN,-0.020685099,-0.012183821,,depression_NN,,wrong_JJ,,choice_NN,
economy_NN,-0.017198939,-0.004889899,,made_VBD,,courage_NN,,seek_VB,
health_NN,-0.014344512,-0.005485907,,century_NN,,will_MD,,history_NN,
world_NN,-0.014031439,0.008063555,,asking_VBG,,training_NN,,offer_VB,
care_NN,-0.013548324,-0.003964515,,idea_NN,,to_TO,,clean_JJ,
government_NN,-0.013193721,0.006387727,,reason_NN,,his_PP$,,job_NN,
plan_NN,-0.010847393,-0.00951432,,they've_PPSS,,history_NN,,parties_NNS,
way_NN,-0.007683042,-0.002720457,,class_NN,,opponent_NN,,like_VB,
year_NN,-0.004823648,-0.00011265,,united_VBN,,deserve_VB,,wrong_JJ,
money_NN,-0.003937124,-0.005465448,,working_VBG,,sell_VB,,four_CD,
nation_NN,-0.003799103,0.004529219,,you'll_PPSS,,differences_NNS,,meet_VB,
energy_NN,-0.00429542,0.004628266,,when_WRB,,mission_NN,,business_NN,
education_NN,-0.000409252,-0.00325661,,can't_MD,,open_VB,,middle-class_NN,
future_NN,-0.002497988,2.96099E-06,,give_VB,,only_AP,,streets_NNS,
work_NN,-0.00149891,-0.000341725,,john_NP,,achieve_VB,,bring_VB,
war_NN,-0.001478474,0.00389395,,cuts_VBZ,,student_NN,,plans_NNS,
job_NN,-0.000163506,-0.003153594,,anybody_PN,,even_RB,,person_NN,
security_NN,-0.001556489,0.006364928,,they'll_PPSS,,record_NN,,created_VBN,
applause_NN,0.002501645,-0.012051616,,look_VB,,plans_NNS,,half_ABN,
senator_NN,-0.004855152,-0.000157445,,looking_VBG,,prices_NNS,,send_VB,
day_NN,-0.000606704,0.001957835,,250_CD,,less_QL,,interests_NNS,
election_NN,0.000596808,-0.005742007,,getting_VBG,,a_AT,,let_VB,
change_NN,0.000206172,-0.00064313,,that_DT,,got_VBD,,second_OD,
insurance_NN,0.002884013,-0.003773097,,make_VB,,wall_NN,,spend_VB,
lot_NN,0.003336413,-0.005258746,,or_CC,,spend_VB,,bad_JJ,
college_NN,0.003682967,-0.005488424,,making_VBG,,half_ABN,,number_NN,
system_NN,0.002325632,0.003434428,,politics_NN,,though_CS,,experience_NN,
family_NN,0.002894081,-0.000712529,,years_NNS,,spirit_NN,,i'm_PPSS,
life_NN,0.001590362,0.005181226,,auto_NN,,parties_NNS,,though_CS,
oil_NN,0.001942938,0.003573812,,come_VB,,experience_NN,,forget_VB,
campaign_NN,0.001342121,0.000527151,,actually_RB,,reforms_NNS,,economic_JJ,
crisis_NN,0.000764578,0.001197984,,doors_NNS,,going_VBG,,republican_JJ,
state_NN,0.002741356,0.001849033,,back_RB,,everybody_PN,,500_CD,
street_NN,0.00352874,-0.001913409,,easy_JJ,,better_JJR,,only_AP,
people_NNS,-0.058657775,-0.009894786,,top_NN,,each_DT,,values_NNS,
years_NNS,-0.028297361,-0.007249321,,don't_DO,,having_HVG,,longer_RBR,
jobs_NNS,-0.026890365,-0.016928221,,but_CC,,least_AP,,strength_NN,
states_NNS,-0.011058031,-0.000827966,,thing_NN,,used_VBN,,hands_NNS,
families_NNS,-0.008647328,-0.001736495,,communities_NNS,,most_QL,,courage_NN,
children_NNS,-0.003102489,0.003186006,,maybe_RB,,yesterday_NR,,three_CD,
taxes_NNS,-0.002158059,-0.007064272,,still_RB,,country_NN,,reforms_NNS,
companies_NNS,0.000555065,-0.004231599,,neighbors_NNS,,money_NN,,medical_JJ,
workers_NNS,8.69684E-05,-0.003069127,,running_VBG,,20_CD,,thought_VBD,
businesses_NNS,0.001315218,-0.003596517,,middle_JJ,,knows_VBZ,,entire_JJ,
things_NNS,0.002877835,-0.002425197,,i'll_PPSS,,south_JJ,,restore_VB,
women_NNS,0.003261896,0.00198066,,kids_NNS,,middle-class_NN,,most_QL,
america_NP,-0.048551954,-0.005300124,,banks_NNS,,promised_VBD,,open_VB,
washington_NP,-0.004971022,-2.07639E-05,,workers_NNS,,college_NN,,times_NNS,
congress_NP,0.002972394,0.001725727,,invest_VB,,truth_NN,,money_NN,
