because_CS,0.515895546,,Mean,Median,,because_CS,0.515895546,Filter values >= Mean,because_CS,0.515895546,,because_CS,0.515895546,,because_CS,0.515895546,,Mean,Median,,because_CS,,obama_NP,-0.403758908,,Mean,Median,,obama_NP
his_PP$,0.209409068,,,,,his_PP$,0.209409068,,his_PP$,0.209409068,,right_QL,0.273524934,,,,,,,,,,choices_NNS,-0.16184026,,,,,
cause_NN,0.207304443,,,,,cause_NN,0.207304443,,cause_NN,0.207304443,,here_RB,0.271450842,,,,,,,,,,political_JJ,-0.159125756,,,,,
direction_NN,0.20510426,,,,,direction_NN,0.20510426,,direction_NN,0.20510426,,mccain_NP,0.268486222,,,,,,,,,,again_RB,-0.157789589,,,,,
seek_VB,0.202332527,,,,,seek_VB,0.202332527,,seek_VB,0.202332527,,want_VB,0.268431663,,,,,,,,,,used_VBN,-0.157240216,,,,,
interests_NNS,0.201180462,,,,,interests_NNS,0.201180462,,interests_NNS,0.201180462,,go_VB,0.268141732,,,,,,,,,,whatever_WDT.,-0.156401851,,,,,
courage_NN,0.189740978,,,,,courage_NN,0.189740978,,courage_NN,0.189740978,,doing_VBG,0.266848239,,,,,,,,,,sell_VB,-0.15625098,,,,,
senator_NN,0.188189561,,,,,senator_NN,0.188189561,,senator_NN,0.188189561,,rebuilding_VBG,0.258592928,,,,,,,,,,fight_VB,-0.153570797,,,,,
wealth_NN,0.187943345,,,,,wealth_NN,0.187943345,,wealth_NN,0.187943345,,that's_WPS,0.257990861,,,,,,,,,,achieve_VB,-0.152059781,,,,,
history_NN,0.180676704,,,,,history_NN,0.180676704,,history_NN,0.180676704,,forward_RB,0.255281337,,,,,,,,,,lost_VBN,-0.146256873,,,,,
bad_JJ,0.18046086,,,,,bad_JJ,0.18046086,,bad_JJ,0.18046086,,you're_PPSS,0.25490422,,,,,,,,,,cost_NN,-0.142593315,,,,,
hands_NNS,0.177069239,,,,,hands_NNS,0.177069239,,hands_NNS,0.177069239,,young_JJ,0.254208412,,,,,,,,,,interest_NN,-0.132902474,,,,,
raise_VB,0.174659782,,,,,raise_VB,0.174659782,,raise_VB,0.174659782,,2_CD,0.25302371,,,,,,,,,,longer_RBR,-0.132128452,,,,,
experience_NN,0.171449223,,,,,experience_NN,0.171449223,,experience_NN,0.171449223,,tell_VB,0.252115238,,,,,,,,,,available_JJ,-0.131480725,,,,,
before_IN,0.167652112,,,,,before_IN,0.167652112,,before_IN,0.167652112,,21st_OD,0.250797198,,,,,,,,,,challenge_NN,-0.130012657,,,,,
balanced_VBN,0.166789109,,,,,balanced_VBN,0.166789109,,balanced_VBN,0.166789109,,they're_PPSS,0.250573209,,,,,,,,,,,,,,,,
friends_NNS,0.163767182,,,,,friends_NNS,0.163767182,,friends_NNS,0.163767182,,who's_WPS,0.250327923,,,,,,,,,,,,,,,,
choices_NNS,0.16184026,,,,,choices_NNS,0.16184026,,choices_NNS,0.16184026,,need_VB,0.245308884,,,,,,,,,,,,,,,,
political_JJ,0.159125756,,,,,political_JJ,0.159125756,,political_JJ,0.159125756,,if_CS,0.244429663,,,,,,,,,,,,,,,,
again_RB,0.157789589,,,,,again_RB,0.157789589,,again_RB,0.157789589,,remind_VB,0.242907034,,,,,,,,,,,,,,,,
used_VBN,0.157240216,,,,,used_VBN,0.157240216,,used_VBN,0.157240216,,can_MD,0.241929608,,,,,,,,,,,,,,,,
whatever_WDT.,0.156401851,,,,,whatever_WDT.,0.156401851,,whatever_WDT.,0.156401851,,companies_NNS,0.240698982,,,,,,,,,,,,,,,,
sell_VB,0.15625098,,,,,sell_VB,0.15625098,,sell_VB,0.15625098,,we're_PPSS,0.240613636,,,,,,,,,,,,,,,,
fight_VB,0.153570797,,,,,fight_VB,0.153570797,,fight_VB,0.153570797,,because_RB,0.238823134,,,,,,,,,,,,,,,,
achieve_VB,0.152059781,,,,,achieve_VB,0.152059781,,achieve_VB,0.152059781,,members_NNS,0.236979411,,,,,,,,,,,,,,,,
lost_VBN,0.146256873,,,,,lost_VBN,0.146256873,,lost_VBN,0.146256873,,3_CD,0.23642829,,,,,,,,,,,,,,,,
cost_NN,0.142593315,,,,,cost_NN,0.142593315,,cost_NN,0.142593315,,here's_RB,0.235398246,,,,,,,,,,,,,,,,
applause_NN,0.142577087,,,,,applause_NN,0.142577087,,applause_NN,0.142577087,,it's_PPS,0.234727063,,,,,,,,,,,,,,,,
